Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,25295,25745,26181,26636,27140,27709,28352,29057,29739,30299,30642,30762,30677,30456,30218,30011,29883,29807,29768,29748,29730,29724,29738,29761,29788,29820,29849,29880,29941,30079,30312,30669,31124,31649,32208,32786,33365,33952,34540,35129,35714,36288,36853,37420,38004,38631,39309,40016,40732,41445,42117,42764,43374,43954,44502,45026,45521,45986,46421,46852,
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,5188257,5289298,5416438,5517705,5623653,5731969,5861886,5934372,6038237,6164079,6284474,6497909,6615524,6713994,6881822,6961880,7025718,7098112,7173917,7245826,7330662,7446239,7571747,7668484,7757240,7864596,7994150,8115539,8247505,8385577,8507178,8611895,8711806,8792533,8882883,8990295,9111834,9219689,9323022,9436429,9554138,9685959,9805087,9926226,10042276,10177992,10334118,10405448,10622626,10847891,11017892,11167269,11355294,11541758,11705167,11867302,12049619,12252228,12441473,12631543,
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,3282797,3303028,3325774,3349873,3375100,3400030,3426982,3455792,3476922,3492071,3507355,3526064,3549599,3572210,3581050,3574148,3570260,3573926,3573309,3569618,3572232,3584241,3589984,3587587,3590946,3596364,3602463,3608671,3618029,3639196,3672618,3715871,3764035,3802473,3824118,3836304,3847121,3856495,3865064,3876199,3888395,3905356,3925924,3945945,3971306,3999505,4020777,4035626,4050430,4063492,4075960,4092609,4114435,4142296,4178984,4231048,4282881,4319226,4346935,4370954,
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,1863218,1932009,2003975,2077303,2149589,2219059,2285019,2347680,2407313,2464555,2519911,2573350,2624773,2674695,2723756,2772484,2821126,2869760,2918474,2967305,3016298,3065467,3114936,3165025,3216110,3268404,3321890,3376316,3431351,3486553,3500492,3553817,3606983,3661402,3710635,3753173,3790889,3827453,3864371,3899993,3935204,3970490,4006302,4043665,4086138,4134503,4185828,4238613,4333182,4428526,4485924,4549072,4614067,4678173,4740934,4801750,4859774,4911735,4958380,5003653,
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,1350785,1378165,1405732,1434412,1465446,1499555,1537643,1578998,1620715,1658835,1690762,1715244,1733804,1750077,1769220,1794987,1828659,1869247,1915509,1965254,2016890,2069821,2124545,2181821,2242829,2308149,2378098,2451572,2525966,2597831,2664652,2726279,2783419,2835675,2882783,2925148,2962031,2995037,3029759,3073611,3131928,3206898,3297227,3400369,3512138,3629309,3751517,3879438,4012092,4148465,4287849,4429454,4573299,4720463,4872572,5030733,5195255,5365503,5540530,5718989,
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,4503524,4517094,4533442,4565624,4607152,4647323,4677048,4701444,4718271,4729870,4732626,4739202,4755653,4768512,4781582,4793742,4800959,4805831,4809540,4813315,4818261,4817946,4816634,4816431,4816750,4818768,4821284,4826362,4842768,4861369,4876707,4895500,4915880,4935471,4950976,4961594,4971479,4983657,4994557,5006580,5019740,5038558,5063146,5086571,5110738,5140743,5176325,5215882,5258403,5301677,5350771,5420651,5453743,5479418,5505521,5541882,5577477,5609017,5645728,5684122,
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,1156653,1174505,1193682,1214260,1236327,1259940,1285185,1312016,1340314,1369845,1400497,1432232,1465180,1499542,1535628,1573664,1613797,1656027,1700363,1746755,1795186,1845824,1898838,1954270,2012142,2072577,2135321,2200613,2269539,2343544,2423543,2510181,2602819,2699502,2797457,2894761,2990565,3085567,3181233,3279808,3382860,3490952,3603444,3719314,3836993,3955403,4074235,4194027,4315625,4440263,4568836,4701607,4838352,4978893,5122908,5270127,5420567,5574303,5731245,5891256,
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,2457982,2484676,2511377,2538876,2568306,2600480,2635737,2673841,2714310,2756405,2799624,2843985,2889858,2937420,2986974,3038847,3093041,3149804,3210037,3274868,3345108,3421191,3502955,3589834,3680939,3775648,3873859,3975820,4081648,4191546,4305690,4424199,4547104,4674454,4806274,4942640,5083686,5229682,5381022,5538202,5701658,5871498,6047906,6231413,6422634,6622001,6829729,7045682,7269411,7500236,7737622,7981452,8231726,8488205,8750625,9018776,9292529,9571872,9856908,10147772,
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,24959604,25646780,26351778,27086478,27867872,28704368,29609838,30570717,31535596,32434720,33222322,33874844,34418351,34917785,35465707,36129191,36929936,37848918,38862774,39931817,41026187,42140180,43281854,44450472,45647733,46873367,48126412,49400281,50682701,51958239,53216138,54448121,55656705,56855149,58063171,59293799,60547972,61816489,63089548,64353199,65594994,66817463,68017430,69170301,70244876,71221594,72087518,72855835,73565714,74272293,75015690,75810021,76644946,77506257,78369631,79217151,80045712,80861559,81666653,82473785,
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3928038,3966741,4002587,4036127,4070075,4100691,4128134,4154504,4184251,4216379,4243701,4266498,4285526,4306804,4334397,4353961,4371306,4392346,4395298,4398923,4413918,4425456,4434965,4442061,4448115,4443384,4437237,4438504,4437988,4380730,4296745,4248622,4197417,4158287,4138629,4115072,4089222,4060235,4029604,4003973,3981626,3901056,3815705,3784492,3755403,3727030,3699084,3672616,3647696,3624873,3601310,3578030,3556675,3535805,3514595,3491057,3465478,3439061,3413178,3388224,
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,86961,90316,93685,96942,99917,102535,104741,106689,108732,111354,114922,119424,124809,131354,139372,149005,160519,173644,187255,199835,210355,218279,224029,228603,233474,239714,247705,257058,267167,277088,286170,294448,302322,309880,317314,324896,332613,340858,350776,363867,381226,402686,427998,457878,493190,534144,582064,635790,690041,737699,774049,796036,806031,811369,822541,846755,886937,939848,998975,1054802,
Bahamas,BHS,"Population, male",SP.POP.TOTL.MA.IN,52387,55333,58466,61744,65096,68455,71830,75180,78406,81342,83904,86030,87764,89291,90863,92658,94749,97063,99542,102073,104564,107005,109424,111809,114148,116416,118608,120725,122802,124922,127132,129473,131916,134328,136537,138435,139954,141183,142300,143567,145178,147188,149534,152150,154923,157778,160699,163690,166651,169452,172010,174268,176255,178059,179814,181611,183481,185390,187324,189228,
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1582399,1615288,1649110,1682650,1714246,1742754,1767649,1789410,1809185,1828617,1848921,1870489,1892976,1915992,1938883,1961170,1982614,2003394,2023995,2045095,2067073,2089309,2111095,2132570,2153972,2174945,2197293,2219684,2235060,2233951,2210490,2161010,2089827,2008747,1934310,1878407,1845209,1831234,1831294,1836881,1841611,1844259,1846443,1847905,1848921,1849515,1849597,1848275,1843997,1834797,1819534,1797360,1769247,1738044,1707764,1681343,1659725,1642269,1628375,1616800,
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,3704077,3745469,3789977,3836254,3882962,3928741,3974431,4020929,4067050,4111663,4153574,4193727,4232968,4269924,4303195,4331364,4356984,4386270,4420053,4452168,4483914,4518883,4552945,4587332,4622012,4656313,4692767,4729787,4748513,4766829,4778569,4782009,4791938,4801542,4794950,4779424,4764686,4746638,4726330,4707626,4684735,4657851,4623609,4585502,4548193,4511525,4478869,4453737,4434493,4421675,4412278,4403575,4400129,4402160,4407587,4415767,4421963,4420722,4413995,4406638,
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,45461,46797,48158,49568,51028,52570,54199,55884,57581,59200,60683,62004,63210,64317,65385,66463,67558,68663,69853,71186,72730,74486,76454,78579,80803,83076,85417,87832,90237,92505,94571,96363,97953,99581,101603,104242,107604,111579,115940,120338,124519,128402,132060,135577,139080,142663,146322,150033,153784,157548,161327,165115,168917,172703,176447,180138,183752,187293,190798,194282,
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,1812119,1848882,1886686,1925617,1965776,2007249,2050039,2094125,2139597,2186558,2235078,2285136,2336700,2389731,2444186,2500004,2557247,2615854,2675414,2735385,2795412,2855302,2915273,2975873,3037922,3102005,3168261,3236532,3306680,3378479,3451706,3526361,3602430,3679613,3757579,3836050,3914846,3993971,4073538,4153775,4234817,4316670,4399175,4482056,4564933,4647526,4729691,4811457,4892970,4974470,5056106,5137928,5219813,5301541,5382819,5463443,5543312,5622488,5701162,5779610,
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,35935852,37006205,38110997,39242355,40389302,41543538,42703488,43870360,45042159,46217305,47395447,48574483,49756345,50949782,52166710,53415738,54697663,56009747,57352246,58724526,60124414,61552968,63005618,64467434,65918870,67345432,68741147,70107875,71448768,72770366,74077776,75369086,76642503,77903594,79159715,80415362,81672544,82927445,84171458,85392586,86581634,87736621,88858470,89944582,90992765,92002090,92970773,93900508,94798466,95674550,96536268,97385183,98220333,99043431,99855748,100657521,101450193,102232091,102996245,103733164,
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,103390,103934,104847,105987,107145,108192,109071,109826,110541,111310,112218,113277,114454,115652,116732,117617,118270,118714,119044,119342,119708,120144,120645,121190,121776,122370,122995,123652,124309,124947,125540,126076,126562,127029,127485,127956,128446,128959,129473,129974,130454,130903,131322,131735,132170,132647,133170,133720,134295,134853,135386,135877,136341,136770,137169,137547,137901,138225,138525,138815,
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,42163,44149,46164,48256,50459,52814,55340,58021,60846,63776,66791,69865,73008,76260,79689,83322,87199,91272,95401,99387,103088,106456,109537,112466,115424,118555,121871,125341,128943,132660,136443,140338,144320,148258,151975,155345,158297,160893,163327,165877,168749,172013,175601,179342,183004,186430,189535,192398,195121,197857,200725,203744,206866,210001,213017,215824,218381,220724,222905,224976,
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,113813,116598,119454,122439,125640,129124,132894,136947,141287,145904,150787,155921,161294,166904,172730,178765,185002,191424,197901,204272,210426,216212,221662,227061,232830,239217,246484,254395,262121,268516,272813,274648,274463,273338,272782,273916,277043,281840,287997,294960,302287,309997,318127,326218,333704,340159,345396,349524,352968,356335,360084,364319,368927,373824,378891,384013,389212,394502,399809,405031,
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,243926,248859,254418,260357,266311,272036,277435,282696,288219,294558,302104,311024,321206,332395,344234,356433,368958,381903,395356,409432,424238,439696,455761,472615,490511,509558,529885,551269,573125,594658,615288,634761,653219,670974,688547,706299,724377,742637,760799,778483,795433,811388,826520,841557,857468,874870,894360,915523,936813,956059,971864,983427,991624,998688,1007819,1021216,1039723,1062494,1088049,1114113,
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,739434,751372,764032,777484,791824,807074,823432,840760,858385,875391,891200,905550,918838,932024,946420,963010,981906,1002900,1026313,1052430,1081322,1113509,1148643,1184856,1219618,1251260,1278799,1303094,1326411,1352032,1382253,1417856,1457934,1501071,1545132,1588507,1630748,1672241,1713186,1754014,1795026,1835904,1876287,1916295,1956160,1995879,2036096,2076371,2114318,2146736,2171642,2187972,2197288,2203460,2211898,2226565,2248838,2277878,2312821,2351976,
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,9055054,9228482,9389914,9553643,9723340,9890640,10068464,10244897,10406589,10544939,10689556,11005930,11131388,11264871,11418381,11579308,11723309,11849896,11955947,12062637,12208211,12350228,12489782,12606799,12720262,12831671,12955415,13123815,13292027,13529366,13730936,13897766,14057716,14207593,14359707,14506536,14658499,14806160,14932028,15056838,15200542,15369080,15539429,15682376,15831819,15984826,16150387,16311491,16492292,16683829,16871021,17035831,17219264,17399107,17572607,17703599,17906490,18124551,18383790,18651974,
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,44242523,44678835,45087687,45521035,45973385,46348875,46710858,47162521,47583923,47947226,48216648,48473532,48838402,49219549,49634522,50093029,50546675,50961731,51312158,51615857,51905974,52192763,52484140,52757619,53016848,53255589,53486789,53710577,53892179,53935728,53889475,53731345,53527972,53463448,53422160,53315596,53172088,53046910,52933014,52821944,52498705,52089897,51722905,51535313,51372130,51214954,51072028,50872526,50686183,50591098,50416819,50312524,50217263,50132475,50048426,49950445,49835495,49720196,49627477,49554293,
Switzerland,CHE,"Population, male",SP.POP.TOTL.MA.IN,2580676,2634745,2705265,2766800,2816035,2851652,2884370,2922919,2962183,2997301,3019831,3035656,3058065,3079325,3094238,3091079,3071588,3059260,3057764,3062575,3074064,3090980,3109850,3124464,3137168,3152496,3170336,3191679,3216495,3243718,3278114,3320023,3357274,3388260,3415540,3438577,3453945,3462457,3473009,3489950,3510099,3532974,3560570,3588235,3614779,3640621,3667010,3704130,3756221,3808334,3852990,3900689,3946780,3996588,4049415,4099073,4146846,4187971,4220798,4252464,
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,52960,53464,54009,54592,55192,55817,56454,57093,57737,58368,58983,59579,60160,60681,61123,61447,61633,61706,61752,61857,62090,62485,63008,63633,64322,65032,65762,66520,67255,67893,68397,68739,68936,69068,69235,69523,69959,70522,71161,71775,72299,72704,73038,73354,73763,74322,75065,75949,76919,77856,78690,79371,79949,80479,81042,81715,82514,83410,84347,85252,
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,4068208,4149583,4232073,4314683,4396087,4475378,4552101,4626598,4699740,4772797,4846721,4921766,4997693,5074382,5151566,5229039,5307089,5385879,5464927,5543604,5621594,5698583,5775153,5852922,5934130,6020340,6111867,6208181,6308833,6413021,6519945,6629578,6741482,6853834,6964334,7071272,7174020,7272779,7367715,7459342,7548166,7634046,7717129,7798638,7880156,7962879,8047643,8134407,8222345,8310125,8397003,8481049,8562864,8647026,8739819,8844799,8965256,9097254,9228413,9341775,
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,343835753,340176563,342816412,351194360,359286788,367783568,378005313,387670493,397756301,408662304,419999230,431629087,442333497,452541867,461994684,470239507,477588522,484162513,490704446,497304484,503578021,510049652,517580797,525071456,531969770,539241508,547318268,556176033,565221328,573970623,582463866,590467414,597745442,604649929,611512985,618182493,624681689,631092006,637170891,642730896,647869175,652684007,657194875,661443843,665529511,669589760,673459543,677091928,680653754,684100628,687429252,690707252,694017710,697356463,700776622,704210775,707884097,711687182,714757755,717118675,
Cote d'Ivoire,CIV,"Population, male",SP.POP.TOTL.MA.IN,1799128,1867914,1942940,2022565,2104450,2187144,2269852,2353818,2442056,2538743,2646819,2767401,2899526,3041561,3190968,3345805,3505445,3670251,3840510,4016769,4199296,4388285,4583019,4781832,4982475,5183450,5383530,5583261,5785127,5992678,6208228,6432195,6662901,6898011,7134169,7368632,7601486,7832494,8058258,8274523,8478768,8669620,8849176,9022661,9197420,9379141,9569664,9768754,9977534,10196632,10426517,10668127,10921921,11187177,11462647,11747316,12041034,12343864,12655168,12974201,
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,2546848,2601055,2658084,2717964,2780672,2846202,2914713,2986367,3061247,3139413,3220980,3306051,3394827,3487632,3584835,3686770,3793569,3905327,4022336,4144868,4273117,4407047,4546593,4691861,4842961,4999861,5162573,5330700,5503213,5678774,5856358,6035824,6217256,6400135,6583918,6768386,6953344,7139379,7328151,7521861,7722267,7929955,8144930,8367618,8598312,8837180,9084550,9340473,9604448,9875759,10153794,10438336,10729397,11026876,11330732,11640876,11957208,12279485,12607239,12939924,
Democratic Republic of the Congo,COD,"Population, male",SP.POP.TOTL.MA.IN,7283487,7481985,7687465,7901431,8125957,8362334,8611593,8872905,9143522,9419614,9698576,9978731,10261288,10549872,10849716,11164282,11496334,11844110,12201175,12558448,12910159,13255362,13598683,13946966,14309790,14695195,15100838,15527309,15988586,16502468,17079144,17729901,18445037,19188198,19909196,20573713,21167684,21706635,22222367,22761643,23359139,24024794,24750632,25531973,26358267,27221817,28123306,29066901,30051807,31077038,32141617,33244603,34385068,35561915,36773966,38019966,39299342,40610874,41951875,43319103,
Republic of the Congo, COG,"Population, male",SP.POP.TOTL.MA.IN,500587,512659,525365,538710,552707,567361,582685,598682,615411,632919,651249,670414,690402,711152,732549,754538,777084,800197,823941,848386,873594,899610,926397,953832,981728,1009977,1038563,1067580,1097172,1127525,1158798,1191070,1224379,1258882,1294766,1332150,1371221,1412054,1454486,1498289,1543325,1589296,1636374,1685607,1738399,1795605,1857840,1924391,1993142,2061163,2126407,2188039,2246780,2304085,2362145,2422572,2485796,2551316,2618741,2687360,
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,7952221,8204218,8463701,8729277,8999214,9271970,9547502,9825088,10101749,10373793,10638882,10895365,11144641,11391245,11641655,11900518,12169370,12446882,12731456,13020322,13311399,13604524,13900238,14197978,14497138,14797314,15097840,15398704,15700972,16006191,16315309,16628628,16945302,17263588,17581099,17896051,18207335,18515066,18820110,19123925,19427308,19730612,20032616,20330597,20620945,20901088,21171768,21434182,21687045,21928840,22159658,22374294,22575567,22780900,23013770,23288781,23616362,23985775,24364709,24713193,
Comoros,COM,"Population, male",SP.POP.TOTL.MA.IN,95076,96587,98125,99723,101428,103273,105320,107549,109908,112302,114680,116989,119295,121795,124753,128362,132707,137706,143099,148540,153769,158701,163429,168065,172822,177830,183111,188646,194386,200311,206384,212621,219005,225523,232131,238801,245530,252306,259141,265983,272852,279722,286625,293593,300705,308013,315524,323236,331158,339285,347625,356183,364954,373892,382953,392083,401271,410523,419834,429207,
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,94710,96394,98820,101885,105410,109208,113346,117759,122018,125543,127966,129101,129109,128410,127601,127144,127128,127501,128296,129570,131297,133594,136461,139657,142870,145902,148600,151086,153609,156555,160190,164615,169673,175095,180468,185499,190096,194343,198314,202164,206014,209849,213638,217436,221300,225287,229420,233672,237957,242123,246071,249766,253244,256563,259815,263072,266352,269625,272868,276035,
Costa Rica,CRI,"Population, male",SP.POP.TOTL.MA.IN,676234,701673,727993,754833,781725,808338,834570,860469,885984,911081,935808,960083,984041,1008119,1032915,1058865,1086136,1114685,1144453,1175292,1207089,1239880,1273697,1308443,1343971,1380172,1416940,1454277,1492338,1531362,1571467,1612600,1654548,1697095,1739967,1782860,1825772,1868514,1910421,1950659,1988649,2024098,2057181,2088445,2118713,2148585,2178229,2207503,2236411,2264850,2292779,2320217,2347233,2373807,2399919,2425529,2450644,2475234,2499228,2522539,
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,1989129,2026003,2063524,2101315,2138825,2175665,2211761,2247180,2281822,2315491,2348158,2379697,2410285,2440264,2470155,2500338,2530768,2561284,2592418,2624725,2658505,2694287,2731610,2768485,2802182,2830864,2853602,2871329,2886423,2902381,2921620,2945008,2971728,3000525,3029504,3057245,3083512,3108762,3133033,3156479,3179272,3201337,3222666,3243576,3264517,3285813,3307499,3329544,3352086,3375243,3399034,3423527,3448597,3473843,3498727,3522855,3546029,3568269,3589576,3609949,
Cuba,CUB,"Population, male",SP.POP.TOTL.MA.IN,3648445,3722399,3803021,3887266,3970782,4050424,4124680,4194415,4261713,4329805,4400761,4475340,4551955,4627528,4697812,4759735,4812761,4857934,4895833,4927593,4954430,4975649,4992000,5007858,5028944,5059143,5100539,5151414,5207080,5260700,5307316,5345396,5376391,5401977,5424973,5447442,5469496,5490347,5510178,5529105,5547101,5564811,5582119,5597341,5608175,5613213,5611450,5604007,5594114,5586272,5583618,5587410,5596446,5608386,5619688,5627752,5631930,5632958,5631330,5627928,
Curacao,CUW,"Population, male",SP.POP.TOTL.MA.IN,62564,63030,63944,64905,65804,66681,67291,67990,69065,70204,71247,72500,72580,72093,72708,73011,73079,73054,72460,72169,72205,72425,73066,73505,73787,74052,73901,73177,71964,70680,69768,69104,68682,68677,68657,68734,69132,69295,67999,65530,62850,60580,60675,61965,63014,64525,65980,67000,67523,67678,68327,69169,69676,70447,71405,72374,73184,73468,73355,72380,
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Population, male",SP.POP.TOTL.MA.IN,281666,283338,283824,283734,283951,285112,287437,290718,294706,298975,303231,307389,311535,315699,319947,324301,328850,333513,338018,341963,345129,347359,348842,350198,352207,355452,360141,366099,373084,380699,388630,396835,405364,414112,422950,431789,440545,449172,457775,466498,475428,484573,493849,503069,512007,520477,528423,535883,542864,549414,555580,561356,566741,571805,576667,581394,586029,590548,594977,599298,
Czech Republic,CZE,"Population, male",SP.POP.TOTL.MA.IN,4669306,4663261,4684050,4708688,4737347,4761049,4777254,4786453,4790520,4793689,4770372,4752953,4772372,4799930,4833697,4869377,4903563,4934650,4963051,4988919,4996078,4995589,5003565,5008834,5012621,5016526,5019383,5022060,5026086,5029163,5016186,5004892,5010968,5017298,5020280,5018357,5013717,5009608,5006118,5002064,4988828,4970377,4960703,4959602,4962903,4973690,4993621,5031344,5082547,5119920,5141034,5155257,5163916,5165713,5171045,5181793,5193218,5209106,5229012,5251029,
Germany,DEU,"Population, male",SP.POP.TOTL.MA.IN,33879221,34206921,34591820,35005095,35376761,35757487,36121363,36339621,36544533,36871997,37027361,37123761,37325745,37464722,37500050,37382256,37246626,37189256,37184524,37226618,37326011,37399862,37377800,37295433,37191700,37147931,37220887,37347792,37570524,37936022,38328461,38660351,38996611,39287590,39455403,39604081,39753514,39847178,39888792,39948950,40035264,40132580,40228292,40277330,40294422,40296958,40276858,40248412,40197358,40120856,40084439,39371978,39469223,39601642,39795381,40175001,40540539,40737032,40905408,41059335,
Djibouti,DJI,"Population, male",SP.POP.TOTL.MA.IN,41574,43993,46839,50038,53503,57185,61131,65402,69931,74631,79489,84278,89111,94716,102046,111699,124193,139094,154846,169330,181088,189254,194471,198702,204744,214504,228869,246850,266206,283669,296962,305224,309376,311149,313127,317171,323881,332634,342555,352250,360763,367769,373730,379388,385778,393629,403235,414201,425821,437044,447094,455733,463209,469896,476389,483114,490174,497395,504710,511949,
Dominica,DMA,"Population, male",SP.POP.TOTL.MA.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
